"RegionName","City","HousingType","Time","Value","lon","lat"
10001,"New York","1 Bedroom",2011-07-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2011-07-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2011-07-01,3385,-73.9991637,40.7536854
10001,"New York","Condominium",2011-07-01,3525,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2011-07-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2011-08-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2011-08-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2011-08-01,3500,-73.9991637,40.7536854
10001,"New York","Condominium",2011-08-01,3500,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2011-08-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2011-09-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2011-09-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2011-09-01,3200,-73.9991637,40.7536854
10001,"New York","Condominium",2011-09-01,3255,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2011-09-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2011-10-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2011-10-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2011-10-01,3200,-73.9991637,40.7536854
10001,"New York","Condominium",2011-10-01,3196,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2011-10-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2011-11-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2011-11-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2011-11-01,3525,-73.9991637,40.7536854
10001,"New York","Condominium",2011-11-01,3297.5,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2011-11-01,NA,-73.9991637,40.7536854
10001,"New York","1 Bedroom",2011-12-01,NA,-73.9991637,40.7536854
10001,"New York","2 Bedroom",2011-12-01,NA,-73.9991637,40.7536854
10001,"New York","All Homes",2011-12-01,3500,-73.9991637,40.7536854
10001,"New York","Condominium",2011-12-01,3300,-73.9991637,40.7536854
10001,"New York","Single Family Residence",2011-12-01,NA,-73.9991637,40.7536854
