"RegionName","HousingType","Time","Value"
"Los Angeles","1 Bedroom",2010-05-01,NA
"San Francisco","1 Bedroom",2010-05-01,669.932998324958
"Seattle","1 Bedroom",2010-05-01,390.445158320034
"Los Angeles","2 Bedroom",2010-05-01,NA
"San Francisco","2 Bedroom",2010-05-01,NA
"Seattle","2 Bedroom",2010-05-01,331.578947368421
"Los Angeles","3 Bedroom",2010-05-01,NA
"San Francisco","3 Bedroom",2010-05-01,NA
"Seattle","3 Bedroom",2010-05-01,270.513698630137
"Los Angeles","4 Bedroom",2010-05-01,NA
"San Francisco","4 Bedroom",2010-05-01,NA
"Seattle","4 Bedroom",2010-05-01,255.757944257057
"New York","5+ Bedroom",2010-05-01,229.319852941176
"Los Angeles","5+ Bedroom",2010-05-01,NA
"San Francisco","5+ Bedroom",2010-05-01,NA
"Seattle","5+ Bedroom",2010-05-01,229.033077128323
"Los Angeles","All Homes",2010-05-01,NA
"San Francisco","All Homes",2010-05-01,NA
"Seattle","All Homes",2010-05-01,304.225828262339
"New York","Condominium",2010-05-01,NA
"Los Angeles","Condominium",2010-05-01,NA
"San Francisco","Condominium",2010-05-01,652.33329083259
"Seattle","Condominium",2010-05-01,352.994526672834
"New York","Single Family Residence",2010-05-01,NA
"Los Angeles","Single Family Residence",2010-05-01,NA
"San Francisco","Single Family Residence",2010-05-01,NA
"Seattle","Single Family Residence",2010-05-01,277.668055555556
"Los Angeles","1 Bedroom",2010-06-01,NA
"San Francisco","1 Bedroom",2010-06-01,653.175800234624
"Seattle","1 Bedroom",2010-06-01,384.955752212389
"Los Angeles","2 Bedroom",2010-06-01,NA
"San Francisco","2 Bedroom",2010-06-01,NA
"Seattle","2 Bedroom",2010-06-01,327.228412256267
"Los Angeles","3 Bedroom",2010-06-01,NA
"San Francisco","3 Bedroom",2010-06-01,NA
"Seattle","3 Bedroom",2010-06-01,269.647771051183
"Los Angeles","4 Bedroom",2010-06-01,NA
"San Francisco","4 Bedroom",2010-06-01,NA
"Seattle","4 Bedroom",2010-06-01,252.020202020202
"New York","5+ Bedroom",2010-06-01,230.871212121212
"Los Angeles","5+ Bedroom",2010-06-01,NA
"San Francisco","5+ Bedroom",2010-06-01,NA
"Seattle","5+ Bedroom",2010-06-01,229.414556962025
"Los Angeles","All Homes",2010-06-01,NA
"San Francisco","All Homes",2010-06-01,NA
"Seattle","All Homes",2010-06-01,301.35095247826
"New York","Condominium",2010-06-01,NA
"Los Angeles","Condominium",2010-06-01,NA
"San Francisco","Condominium",2010-06-01,647.101474515268
"Seattle","Condominium",2010-06-01,344.827586206897
"New York","Single Family Residence",2010-06-01,NA
"Los Angeles","Single Family Residence",2010-06-01,NA
"San Francisco","Single Family Residence",2010-06-01,NA
"Seattle","Single Family Residence",2010-06-01,275.689223057644
"Los Angeles","1 Bedroom",2010-07-01,NA
"San Francisco","1 Bedroom",2010-07-01,647.311912225705
"Seattle","1 Bedroom",2010-07-01,379.48717948718
"Los Angeles","2 Bedroom",2010-07-01,NA
"San Francisco","2 Bedroom",2010-07-01,NA
"Seattle","2 Bedroom",2010-07-01,322.700911350456
"Los Angeles","3 Bedroom",2010-07-01,NA
"San Francisco","3 Bedroom",2010-07-01,NA
"Seattle","3 Bedroom",2010-07-01,267.865138592751
"Los Angeles","4 Bedroom",2010-07-01,NA
"San Francisco","4 Bedroom",2010-07-01,NA
"Seattle","4 Bedroom",2010-07-01,252.944664031621
"New York","5+ Bedroom",2010-07-01,232.198142414861
"Los Angeles","5+ Bedroom",2010-07-01,NA
"San Francisco","5+ Bedroom",2010-07-01,NA
"Seattle","5+ Bedroom",2010-07-01,228.723146216831
"Los Angeles","All Homes",2010-07-01,NA
"San Francisco","All Homes",2010-07-01,NA
"Seattle","All Homes",2010-07-01,297.124417189187
"New York","Condominium",2010-07-01,NA
"Los Angeles","Condominium",2010-07-01,NA
"San Francisco","Condominium",2010-07-01,641.909814323607
"Seattle","Condominium",2010-07-01,339.917936694021
"New York","Single Family Residence",2010-07-01,NA
"Los Angeles","Single Family Residence",2010-07-01,NA
"San Francisco","Single Family Residence",2010-07-01,NA
"Seattle","Single Family Residence",2010-07-01,273.684210526316
"Los Angeles","1 Bedroom",2010-08-01,NA
"San Francisco","1 Bedroom",2010-08-01,646.687712481787
"Seattle","1 Bedroom",2010-08-01,369.104647847163
"Los Angeles","2 Bedroom",2010-08-01,NA
"San Francisco","2 Bedroom",2010-08-01,NA
"Seattle","2 Bedroom",2010-08-01,316.729699666296
"Los Angeles","3 Bedroom",2010-08-01,NA
"San Francisco","3 Bedroom",2010-08-01,NA
"Seattle","3 Bedroom",2010-08-01,262.258727862176
"Los Angeles","4 Bedroom",2010-08-01,NA
"San Francisco","4 Bedroom",2010-08-01,NA
"Seattle","4 Bedroom",2010-08-01,254.433458882611
"New York","5+ Bedroom",2010-08-01,232.931726907631
"Los Angeles","5+ Bedroom",2010-08-01,NA
"San Francisco","5+ Bedroom",2010-08-01,NA
"Seattle","5+ Bedroom",2010-08-01,224.137931034483
"Los Angeles","All Homes",2010-08-01,NA
"San Francisco","All Homes",2010-08-01,NA
"Seattle","All Homes",2010-08-01,291.715259622067
"New York","Condominium",2010-08-01,NA
"Los Angeles","Condominium",2010-08-01,NA
"San Francisco","Condominium",2010-08-01,636.731355267681
"Seattle","Condominium",2010-08-01,334.98730964467
"New York","Single Family Residence",2010-08-01,NA
"Los Angeles","Single Family Residence",2010-08-01,NA
"San Francisco","Single Family Residence",2010-08-01,NA
"Seattle","Single Family Residence",2010-08-01,270.161948012515
"Los Angeles","1 Bedroom",2010-09-01,NA
"San Francisco","1 Bedroom",2010-09-01,654.63843272832
"Seattle","1 Bedroom",2010-09-01,364.583333333333
"Los Angeles","2 Bedroom",2010-09-01,NA
"San Francisco","2 Bedroom",2010-09-01,NA
"Seattle","2 Bedroom",2010-09-01,315.863030346356
"Los Angeles","3 Bedroom",2010-09-01,NA
"San Francisco","3 Bedroom",2010-09-01,NA
"Seattle","3 Bedroom",2010-09-01,259.707792207792
"Los Angeles","4 Bedroom",2010-09-01,NA
"San Francisco","4 Bedroom",2010-09-01,NA
"Seattle","4 Bedroom",2010-09-01,250.589970501475
"New York","5+ Bedroom",2010-09-01,232.331481412739
"Los Angeles","5+ Bedroom",2010-09-01,NA
"San Francisco","5+ Bedroom",2010-09-01,NA
"Seattle","5+ Bedroom",2010-09-01,215.945945945946
"Los Angeles","All Homes",2010-09-01,NA
"San Francisco","All Homes",2010-09-01,NA
"Seattle","All Homes",2010-09-01,289.024390243902
"New York","Condominium",2010-09-01,NA
"Los Angeles","Condominium",2010-09-01,NA
"San Francisco","Condominium",2010-09-01,641.025641025641
"Seattle","Condominium",2010-09-01,332.480818414322
"New York","Single Family Residence",2010-09-01,NA
"Los Angeles","Single Family Residence",2010-09-01,NA
"San Francisco","Single Family Residence",2010-09-01,NA
"Seattle","Single Family Residence",2010-09-01,267.361111111111
"Los Angeles","1 Bedroom",2010-10-01,NA
"San Francisco","1 Bedroom",2010-10-01,657.519209659715
"Seattle","1 Bedroom",2010-10-01,359.166666666667
"Los Angeles","2 Bedroom",2010-10-01,NA
"San Francisco","2 Bedroom",2010-10-01,NA
"Seattle","2 Bedroom",2010-10-01,311.129596762154
"Los Angeles","3 Bedroom",2010-10-01,NA
"San Francisco","3 Bedroom",2010-10-01,NA
"Seattle","3 Bedroom",2010-10-01,253.983957219251
"Los Angeles","4 Bedroom",2010-10-01,NA
"San Francisco","4 Bedroom",2010-10-01,NA
"Seattle","4 Bedroom",2010-10-01,238.64133947747
"New York","5+ Bedroom",2010-10-01,227.661596958175
"Los Angeles","5+ Bedroom",2010-10-01,NA
"San Francisco","5+ Bedroom",2010-10-01,NA
"Seattle","5+ Bedroom",2010-10-01,211.416490486258
"Los Angeles","All Homes",2010-10-01,NA
"San Francisco","All Homes",2010-10-01,NA
"Seattle","All Homes",2010-10-01,281.319420588572
"New York","Condominium",2010-10-01,NA
"Los Angeles","Condominium",2010-10-01,NA
"San Francisco","Condominium",2010-10-01,638.952341697548
"Seattle","Condominium",2010-10-01,328.74846226541
"New York","Single Family Residence",2010-10-01,NA
"Los Angeles","Single Family Residence",2010-10-01,NA
"San Francisco","Single Family Residence",2010-10-01,NA
"Seattle","Single Family Residence",2010-10-01,258.24570037298
"Los Angeles","1 Bedroom",2010-11-01,NA
"San Francisco","1 Bedroom",2010-11-01,651.595744680851
"Seattle","1 Bedroom",2010-11-01,349.833333333333
"Los Angeles","2 Bedroom",2010-11-01,NA
"San Francisco","2 Bedroom",2010-11-01,NA
"Seattle","2 Bedroom",2010-11-01,310.185185185185
"Los Angeles","3 Bedroom",2010-11-01,NA
"San Francisco","3 Bedroom",2010-11-01,NA
"Seattle","3 Bedroom",2010-11-01,249.989583333333
"Los Angeles","4 Bedroom",2010-11-01,NA
"San Francisco","4 Bedroom",2010-11-01,NA
"Seattle","4 Bedroom",2010-11-01,230.259365994236
"New York","5+ Bedroom",2010-11-01,227.337224640452
"Los Angeles","5+ Bedroom",2010-11-01,NA
"San Francisco","5+ Bedroom",2010-11-01,NA
"Seattle","5+ Bedroom",2010-11-01,206.501668520578
"Los Angeles","All Homes",2010-11-01,NA
"San Francisco","All Homes",2010-11-01,NA
"Seattle","All Homes",2010-11-01,276.315789473684
"New York","Condominium",2010-11-01,NA
"Los Angeles","Condominium",2010-11-01,NA
"San Francisco","Condominium",2010-11-01,636.890951276102
"Seattle","Condominium",2010-11-01,328.591549295775
"New York","Single Family Residence",2010-11-01,NA
"Los Angeles","Single Family Residence",2010-11-01,NA
"San Francisco","Single Family Residence",2010-11-01,NA
"Seattle","Single Family Residence",2010-11-01,249.949750830565
"Los Angeles","1 Bedroom",2010-12-01,NA
"San Francisco","1 Bedroom",2010-12-01,636.556854410202
"Seattle","1 Bedroom",2010-12-01,341.858887381275
"Los Angeles","2 Bedroom",2010-12-01,NA
"San Francisco","2 Bedroom",2010-12-01,NA
"Seattle","2 Bedroom",2010-12-01,301.643808355334
"Los Angeles","3 Bedroom",2010-12-01,NA
"San Francisco","3 Bedroom",2010-12-01,NA
"Seattle","3 Bedroom",2010-12-01,244.866071428571
"Los Angeles","4 Bedroom",2010-12-01,NA
"San Francisco","4 Bedroom",2010-12-01,NA
"Seattle","4 Bedroom",2010-12-01,227.272727272727
"New York","5+ Bedroom",2010-12-01,225.670640697437
"Los Angeles","5+ Bedroom",2010-12-01,NA
"San Francisco","5+ Bedroom",2010-12-01,NA
"Seattle","5+ Bedroom",2010-12-01,198.519855595668
"Los Angeles","All Homes",2010-12-01,NA
"San Francisco","All Homes",2010-12-01,NA
"Seattle","All Homes",2010-12-01,269.396551724138
"New York","Condominium",2010-12-01,NA
"Los Angeles","Condominium",2010-12-01,NA
"San Francisco","Condominium",2010-12-01,623.972131081136
"Seattle","Condominium",2010-12-01,319.84007996002
"New York","Single Family Residence",2010-12-01,NA
"Los Angeles","Single Family Residence",2010-12-01,NA
"San Francisco","Single Family Residence",2010-12-01,NA
"Seattle","Single Family Residence",2010-12-01,244.932277527851
"Los Angeles","1 Bedroom",2011-01-01,NA
"San Francisco","1 Bedroom",2011-01-01,649.628252788104
"Seattle","1 Bedroom",2011-01-01,333.467587265056
"Los Angeles","2 Bedroom",2011-01-01,NA
"San Francisco","2 Bedroom",2011-01-01,NA
"Seattle","2 Bedroom",2011-01-01,294.662317847802
"Los Angeles","3 Bedroom",2011-01-01,NA
"San Francisco","3 Bedroom",2011-01-01,NA
"Seattle","3 Bedroom",2011-01-01,235.449735449735
"Los Angeles","4 Bedroom",2011-01-01,NA
"San Francisco","4 Bedroom",2011-01-01,NA
"Seattle","4 Bedroom",2011-01-01,214.983022071307
"New York","5+ Bedroom",2011-01-01,224.489795918367
"Los Angeles","5+ Bedroom",2011-01-01,NA
"San Francisco","5+ Bedroom",2011-01-01,NA
"Seattle","5+ Bedroom",2011-01-01,188.81155814281
"Los Angeles","All Homes",2011-01-01,NA
"San Francisco","All Homes",2011-01-01,NA
"Seattle","All Homes",2011-01-01,262.095088819227
"New York","Condominium",2011-01-01,NA
"Los Angeles","Condominium",2011-01-01,NA
"San Francisco","Condominium",2011-01-01,622.509960159363
"Seattle","Condominium",2011-01-01,310.941828254848
"New York","Single Family Residence",2011-01-01,NA
"Los Angeles","Single Family Residence",2011-01-01,NA
"San Francisco","Single Family Residence",2011-01-01,NA
"Seattle","Single Family Residence",2011-01-01,235.247836349331
"Los Angeles","1 Bedroom",2011-02-01,NA
"San Francisco","1 Bedroom",2011-02-01,624.427507665353
"Seattle","1 Bedroom",2011-02-01,320.384615384615
"Los Angeles","2 Bedroom",2011-02-01,NA
"San Francisco","2 Bedroom",2011-02-01,NA
"Seattle","2 Bedroom",2011-02-01,292.372881355932
"Los Angeles","3 Bedroom",2011-02-01,NA
