"RegionName","City","HousingType","Time","Value","lon","lat"
10002,"New York","All Homes",2010-10-01,15.46,-73.9859414,40.7135097
10002,"New York","All Homes",2010-11-01,15.57,-73.9859414,40.7135097
10002,"New York","All Homes",2010-12-01,15.77,-73.9859414,40.7135097
10002,"New York","All Homes",2011-01-01,15.79,-73.9859414,40.7135097
10002,"New York","All Homes",2011-02-01,15.89,-73.9859414,40.7135097
10002,"New York","All Homes",2011-03-01,16.12,-73.9859414,40.7135097
10002,"New York","All Homes",2011-04-01,16.22,-73.9859414,40.7135097
10002,"New York","All Homes",2011-05-01,16.28,-73.9859414,40.7135097
10002,"New York","All Homes",2011-06-01,16.22,-73.9859414,40.7135097
10002,"New York","All Homes",2011-07-01,16,-73.9859414,40.7135097
10002,"New York","All Homes",2011-08-01,15.83,-73.9859414,40.7135097
10002,"New York","All Homes",2011-09-01,15.37,-73.9859414,40.7135097
10002,"New York","All Homes",2011-10-01,15.2,-73.9859414,40.7135097
10002,"New York","All Homes",2011-11-01,15.31,-73.9859414,40.7135097
10002,"New York","All Homes",2011-12-01,15.06,-73.9859414,40.7135097
10002,"New York","All Homes",2012-01-01,14.78,-73.9859414,40.7135097
10002,"New York","All Homes",2012-02-01,14.78,-73.9859414,40.7135097
10002,"New York","All Homes",2012-03-01,14.65,-73.9859414,40.7135097
10002,"New York","All Homes",2012-04-01,14.66,-73.9859414,40.7135097
10002,"New York","All Homes",2012-05-01,14.54,-73.9859414,40.7135097
10002,"New York","All Homes",2012-06-01,14.77,-73.9859414,40.7135097
10002,"New York","All Homes",2012-07-01,14.43,-73.9859414,40.7135097
10002,"New York","All Homes",2012-08-01,14.46,-73.9859414,40.7135097
10002,"New York","All Homes",2012-09-01,14.67,-73.9859414,40.7135097
10002,"New York","All Homes",2012-10-01,14.69,-73.9859414,40.7135097
10002,"New York","All Homes",2012-11-01,14.77,-73.9859414,40.7135097
10002,"New York","All Homes",2012-12-01,14.89,-73.9859414,40.7135097
10002,"New York","All Homes",2013-01-01,14.85,-73.9859414,40.7135097
10002,"New York","All Homes",2013-02-01,15.33,-73.9859414,40.7135097
10002,"New York","All Homes",2013-03-01,15.38,-73.9859414,40.7135097
10002,"New York","All Homes",2013-04-01,15.15,-73.9859414,40.7135097
10002,"New York","All Homes",2013-05-01,15.38,-73.9859414,40.7135097
10002,"New York","All Homes",2013-06-01,15.45,-73.9859414,40.7135097
10002,"New York","All Homes",2013-07-01,15.78,-73.9859414,40.7135097
10002,"New York","All Homes",2013-08-01,16.14,-73.9859414,40.7135097
10002,"New York","All Homes",2013-09-01,16.14,-73.9859414,40.7135097
10002,"New York","All Homes",2013-10-01,15.77,-73.9859414,40.7135097
10002,"New York","All Homes",2013-11-01,15.8,-73.9859414,40.7135097
10002,"New York","All Homes",2013-12-01,15.92,-73.9859414,40.7135097
10002,"New York","All Homes",2014-01-01,16.65,-73.9859414,40.7135097
10002,"New York","All Homes",2014-02-01,16.57,-73.9859414,40.7135097
10002,"New York","All Homes",2014-03-01,16.34,-73.9859414,40.7135097
10002,"New York","All Homes",2014-04-01,18.74,-73.9859414,40.7135097
10002,"New York","All Homes",2014-05-01,19.58,-73.9859414,40.7135097
10002,"New York","All Homes",2014-06-01,20.24,-73.9859414,40.7135097
10002,"New York","All Homes",2014-07-01,20.51,-73.9859414,40.7135097
10002,"New York","All Homes",2014-08-01,20.44,-73.9859414,40.7135097
10002,"New York","All Homes",2014-09-01,20.04,-73.9859414,40.7135097
10002,"New York","All Homes",2014-10-01,19.67,-73.9859414,40.7135097
10002,"New York","All Homes",2014-11-01,19.36,-73.9859414,40.7135097
10002,"New York","All Homes",2014-12-01,18.87,-73.9859414,40.7135097
10002,"New York","All Homes",2015-01-01,19.59,-73.9859414,40.7135097
10002,"New York","All Homes",2015-02-01,20.85,-73.9859414,40.7135097
10002,"New York","All Homes",2015-03-01,21.65,-73.9859414,40.7135097
10002,"New York","All Homes",2015-04-01,21.4,-73.9859414,40.7135097
10002,"New York","All Homes",2015-05-01,22.27,-73.9859414,40.7135097
10002,"New York","All Homes",2015-06-01,22.65,-73.9859414,40.7135097
10002,"New York","All Homes",2015-07-01,23.28,-73.9859414,40.7135097
10002,"New York","All Homes",2015-08-01,24.09,-73.9859414,40.7135097
10002,"New York","All Homes",2015-09-01,24.68,-73.9859414,40.7135097
10002,"New York","All Homes",2015-10-01,23.18,-73.9859414,40.7135097
10002,"New York","All Homes",2015-11-01,23.1,-73.9859414,40.7135097
10002,"New York","All Homes",2015-12-01,20.66,-73.9859414,40.7135097
10002,"New York","All Homes",2016-01-01,20.62,-73.9859414,40.7135097
10002,"New York","All Homes",2016-02-01,19.82,-73.9859414,40.7135097
10002,"New York","All Homes",2016-03-01,20.49,-73.9859414,40.7135097
10002,"New York","All Homes",2016-04-01,20.42,-73.9859414,40.7135097
10002,"New York","All Homes",2016-05-01,16.37,-73.9859414,40.7135097
10002,"New York","All Homes",2016-06-01,16.94,-73.9859414,40.7135097
10002,"New York","All Homes",2016-07-01,17.77,-73.9859414,40.7135097
10002,"New York","All Homes",2016-08-01,18.71,-73.9859414,40.7135097
10002,"New York","All Homes",2016-09-01,19.21,-73.9859414,40.7135097
10002,"New York","All Homes",2016-10-01,19.39,-73.9859414,40.7135097
10002,"New York","All Homes",2016-11-01,19.69,-73.9859414,40.7135097
10002,"New York","All Homes",2016-12-01,20.02,-73.9859414,40.7135097
10002,"New York","All Homes",2017-01-01,19.85,-73.9859414,40.7135097
10002,"New York","All Homes",2017-02-01,20.89,-73.9859414,40.7135097
10003,"New York","All Homes",2010-10-01,18.79,-73.9874105,40.7322535
10003,"New York","All Homes",2010-11-01,18.77,-73.9874105,40.7322535
10003,"New York","All Homes",2010-12-01,18.81,-73.9874105,40.7322535
10003,"New York","All Homes",2011-01-01,19.08,-73.9874105,40.7322535
10003,"New York","All Homes",2011-02-01,19.36,-73.9874105,40.7322535
10003,"New York","All Homes",2011-03-01,20.1,-73.9874105,40.7322535
10003,"New York","All Homes",2011-04-01,20.03,-73.9874105,40.7322535
10003,"New York","All Homes",2011-05-01,19.97,-73.9874105,40.7322535
10003,"New York","All Homes",2011-06-01,19.96,-73.9874105,40.7322535
10003,"New York","All Homes",2011-07-01,20.09,-73.9874105,40.7322535
10003,"New York","All Homes",2011-08-01,19.98,-73.9874105,40.7322535
10003,"New York","All Homes",2011-09-01,19.74,-73.9874105,40.7322535
10003,"New York","All Homes",2011-10-01,19.63,-73.9874105,40.7322535
10003,"New York","All Homes",2011-11-01,20.51,-73.9874105,40.7322535
10003,"New York","All Homes",2011-12-01,20.21,-73.9874105,40.7322535
10003,"New York","All Homes",2012-01-01,20.11,-73.9874105,40.7322535
10003,"New York","All Homes",2012-02-01,19.71,-73.9874105,40.7322535
10003,"New York","All Homes",2012-03-01,19.99,-73.9874105,40.7322535
10003,"New York","All Homes",2012-04-01,20.01,-73.9874105,40.7322535
10003,"New York","All Homes",2012-05-01,20.15,-73.9874105,40.7322535
10003,"New York","All Homes",2012-06-01,19.83,-73.9874105,40.7322535
10003,"New York","All Homes",2012-07-01,20.08,-73.9874105,40.7322535
10003,"New York","All Homes",2012-08-01,19.78,-73.9874105,40.7322535
10003,"New York","All Homes",2012-09-01,19.88,-73.9874105,40.7322535
