"RegionName","HousingType","Time","Value"
"Los Angeles","All Homes",1996-07-01,154200
"San Francisco","All Homes",1996-07-01,265000
"Seattle","All Homes",1996-07-01,163400
"New York","Condominium",1996-07-01,NA
"Los Angeles","Condominium",1996-07-01,127400
"San Francisco","Condominium",1996-07-01,260900
"Seattle","Condominium",1996-07-01,135500
"New York","Single Family Residence",1996-07-01,NA
"Los Angeles","Single Family Residence",1996-07-01,161600
"San Francisco","Single Family Residence",1996-07-01,266900
"Seattle","Single Family Residence",1996-07-01,172100
"New York","1 Bedroom",1996-08-01,NA
"Los Angeles","1 Bedroom",1996-08-01,93900
"San Francisco","1 Bedroom",1996-08-01,201100
"Seattle","1 Bedroom",1996-08-01,110100
"New York","2 Bedroom",1996-08-01,NA
"Los Angeles","2 Bedroom",1996-08-01,126200
"San Francisco","2 Bedroom",1996-08-01,259600
"Seattle","2 Bedroom",1996-08-01,145700
"New York","3 Bedroom",1996-08-01,162200
"Los Angeles","3 Bedroom",1996-08-01,153400
"San Francisco","3 Bedroom",1996-08-01,292500
"Seattle","3 Bedroom",1996-08-01,173100
"New York","4 Bedroom",1996-08-01,191100
"Los Angeles","4 Bedroom",1996-08-01,209600
"San Francisco","4 Bedroom",1996-08-01,329900
"Seattle","4 Bedroom",1996-08-01,201900
"New York","5+ Bedroom",1996-08-01,NA
"Los Angeles","5+ Bedroom",1996-08-01,381800
"San Francisco","5+ Bedroom",1996-08-01,394600
"Seattle","5+ Bedroom",1996-08-01,224100
"New York","All Homes",1996-08-01,NA
"Los Angeles","All Homes",1996-08-01,154100
"San Francisco","All Homes",1996-08-01,266300
"Seattle","All Homes",1996-08-01,163600
"New York","Condominium",1996-08-01,NA
"Los Angeles","Condominium",1996-08-01,126400
"San Francisco","Condominium",1996-08-01,261800
"Seattle","Condominium",1996-08-01,135600
"New York","Single Family Residence",1996-08-01,NA
"Los Angeles","Single Family Residence",1996-08-01,161700
"San Francisco","Single Family Residence",1996-08-01,268200
"Seattle","Single Family Residence",1996-08-01,172400
"New York","1 Bedroom",1996-09-01,NA
"Los Angeles","1 Bedroom",1996-09-01,94000
"San Francisco","1 Bedroom",1996-09-01,201100
"Seattle","1 Bedroom",1996-09-01,111000
"New York","2 Bedroom",1996-09-01,NA
"Los Angeles","2 Bedroom",1996-09-01,126400
"San Francisco","2 Bedroom",1996-09-01,260700
"Seattle","2 Bedroom",1996-09-01,146100
"New York","3 Bedroom",1996-09-01,162300
"Los Angeles","3 Bedroom",1996-09-01,153600
"San Francisco","3 Bedroom",1996-09-01,293500
"Seattle","3 Bedroom",1996-09-01,173700
"New York","4 Bedroom",1996-09-01,191100
"Los Angeles","4 Bedroom",1996-09-01,210100
"San Francisco","4 Bedroom",1996-09-01,330700
"Seattle","4 Bedroom",1996-09-01,202900
"New York","5+ Bedroom",1996-09-01,NA
"Los Angeles","5+ Bedroom",1996-09-01,382000
"San Francisco","5+ Bedroom",1996-09-01,398500
"Seattle","5+ Bedroom",1996-09-01,225100
"New York","All Homes",1996-09-01,NA
"Los Angeles","All Homes",1996-09-01,154300
"San Francisco","All Homes",1996-09-01,267300
"Seattle","All Homes",1996-09-01,163900
"New York","Condominium",1996-09-01,NA
"Los Angeles","Condominium",1996-09-01,126000
"San Francisco","Condominium",1996-09-01,262700
"Seattle","Condominium",1996-09-01,135800
"New York","Single Family Residence",1996-09-01,NA
"Los Angeles","Single Family Residence",1996-09-01,161700
"San Francisco","Single Family Residence",1996-09-01,269100
"Seattle","Single Family Residence",1996-09-01,173000
"New York","1 Bedroom",1996-10-01,NA
"Los Angeles","1 Bedroom",1996-10-01,93700
"San Francisco","1 Bedroom",1996-10-01,201800
"Seattle","1 Bedroom",1996-10-01,111500
"New York","2 Bedroom",1996-10-01,NA
"Los Angeles","2 Bedroom",1996-10-01,126300
"San Francisco","2 Bedroom",1996-10-01,261400
"Seattle","2 Bedroom",1996-10-01,146400
"New York","3 Bedroom",1996-10-01,162500
"Los Angeles","3 Bedroom",1996-10-01,153600
"San Francisco","3 Bedroom",1996-10-01,294400
"Seattle","3 Bedroom",1996-10-01,174500
"New York","4 Bedroom",1996-10-01,191600
"Los Angeles","4 Bedroom",1996-10-01,210300
"San Francisco","4 Bedroom",1996-10-01,331200
"Seattle","4 Bedroom",1996-10-01,204400
"New York","5+ Bedroom",1996-10-01,NA
"Los Angeles","5+ Bedroom",1996-10-01,382700
"San Francisco","5+ Bedroom",1996-10-01,400000
"Seattle","5+ Bedroom",1996-10-01,227000
"New York","All Homes",1996-10-01,NA
"Los Angeles","All Homes",1996-10-01,154300
"San Francisco","All Homes",1996-10-01,267900
"Seattle","All Homes",1996-10-01,164400
"New York","Condominium",1996-10-01,NA
"Los Angeles","Condominium",1996-10-01,126100
"San Francisco","Condominium",1996-10-01,263300
"Seattle","Condominium",1996-10-01,136400
"New York","Single Family Residence",1996-10-01,NA
"Los Angeles","Single Family Residence",1996-10-01,161900
"San Francisco","Single Family Residence",1996-10-01,270300
"Seattle","Single Family Residence",1996-10-01,173900
"New York","1 Bedroom",1996-11-01,NA
"Los Angeles","1 Bedroom",1996-11-01,93400
"San Francisco","1 Bedroom",1996-11-01,202500
"Seattle","1 Bedroom",1996-11-01,112100
"New York","2 Bedroom",1996-11-01,NA
"Los Angeles","2 Bedroom",1996-11-01,126100
"San Francisco","2 Bedroom",1996-11-01,262500
"Seattle","2 Bedroom",1996-11-01,146800
"New York","3 Bedroom",1996-11-01,162800
"Los Angeles","3 Bedroom",1996-11-01,153700
"San Francisco","3 Bedroom",1996-11-01,296400
"Seattle","3 Bedroom",1996-11-01,175600
"New York","4 Bedroom",1996-11-01,192600
"Los Angeles","4 Bedroom",1996-11-01,210400
"San Francisco","4 Bedroom",1996-11-01,332000
"Seattle","4 Bedroom",1996-11-01,206500
"New York","5+ Bedroom",1996-11-01,NA
"Los Angeles","5+ Bedroom",1996-11-01,384600
"San Francisco","5+ Bedroom",1996-11-01,401300
"Seattle","5+ Bedroom",1996-11-01,229200
"New York","All Homes",1996-11-01,NA
"Los Angeles","All Homes",1996-11-01,154200
"San Francisco","All Homes",1996-11-01,269100
"Seattle","All Homes",1996-11-01,165100
