"RegionName","HousingType","Time","Value"
"Seattle","All Homes",2013-09-01,18.56
"New York","All Homes",2013-10-01,18.4
"Los Angeles","All Homes",2013-10-01,17.19
"San Francisco","All Homes",2013-10-01,22.08
"Seattle","All Homes",2013-10-01,18.57
"New York","All Homes",2013-11-01,18.57
"Los Angeles","All Homes",2013-11-01,17.25
"San Francisco","All Homes",2013-11-01,22.3
"Seattle","All Homes",2013-11-01,18.41
"New York","All Homes",2013-12-01,18.6
"Los Angeles","All Homes",2013-12-01,17.41
"San Francisco","All Homes",2013-12-01,22.16
"Seattle","All Homes",2013-12-01,18.31
"New York","All Homes",2014-01-01,18.67
"Los Angeles","All Homes",2014-01-01,17.59
"San Francisco","All Homes",2014-01-01,22.16
"Seattle","All Homes",2014-01-01,18.39
"New York","All Homes",2014-02-01,18.67
"Los Angeles","All Homes",2014-02-01,17.74
"San Francisco","All Homes",2014-02-01,22.02
"Seattle","All Homes",2014-02-01,18.42
"New York","All Homes",2014-03-01,18.72
"Los Angeles","All Homes",2014-03-01,17.82
"San Francisco","All Homes",2014-03-01,22.3
"Seattle","All Homes",2014-03-01,18.67
"New York","All Homes",2014-04-01,19.13
"Los Angeles","All Homes",2014-04-01,17.87
"San Francisco","All Homes",2014-04-01,22.39
"Seattle","All Homes",2014-04-01,18.81
"New York","All Homes",2014-05-01,19.34
"Los Angeles","All Homes",2014-05-01,18.04
"San Francisco","All Homes",2014-05-01,22.21
"Seattle","All Homes",2014-05-01,18.84
"New York","All Homes",2014-06-01,19.43
"Los Angeles","All Homes",2014-06-01,18.03
"San Francisco","All Homes",2014-06-01,22.17
"Seattle","All Homes",2014-06-01,18.87
"New York","All Homes",2014-07-01,19.16
"Los Angeles","All Homes",2014-07-01,17.8
"San Francisco","All Homes",2014-07-01,22
"Seattle","All Homes",2014-07-01,18.43
"New York","All Homes",2014-08-01,19.18
"Los Angeles","All Homes",2014-08-01,17.74
"San Francisco","All Homes",2014-08-01,21.55
"Seattle","All Homes",2014-08-01,18.23
"New York","All Homes",2014-09-01,19.03
"Los Angeles","All Homes",2014-09-01,17.57
"San Francisco","All Homes",2014-09-01,21.21
"Seattle","All Homes",2014-09-01,17.93
"New York","All Homes",2014-10-01,18.96
"Los Angeles","All Homes",2014-10-01,17.39
"San Francisco","All Homes",2014-10-01,20.82
"Seattle","All Homes",2014-10-01,17.89
"New York","All Homes",2014-11-01,19.13
"Los Angeles","All Homes",2014-11-01,17.32
"San Francisco","All Homes",2014-11-01,20.64
"Seattle","All Homes",2014-11-01,17.94
"New York","All Homes",2014-12-01,19.16
"Los Angeles","All Homes",2014-12-01,17.2
"San Francisco","All Homes",2014-12-01,20.37
"Seattle","All Homes",2014-12-01,17.85
"New York","All Homes",2015-01-01,19.23
"Los Angeles","All Homes",2015-01-01,17.07
"San Francisco","All Homes",2015-01-01,20.26
"Seattle","All Homes",2015-01-01,17.76
"New York","All Homes",2015-02-01,19.2
"Los Angeles","All Homes",2015-02-01,17.11
"San Francisco","All Homes",2015-02-01,20.23
"Seattle","All Homes",2015-02-01,17.91
"New York","All Homes",2015-03-01,19.39
"Los Angeles","All Homes",2015-03-01,17.1
"San Francisco","All Homes",2015-03-01,20.4
"Seattle","All Homes",2015-03-01,17.92
"New York","All Homes",2015-04-01,19.39
"Los Angeles","All Homes",2015-04-01,17.16
"San Francisco","All Homes",2015-04-01,20.79
"Seattle","All Homes",2015-04-01,18.46
"New York","All Homes",2015-05-01,19.56
"Los Angeles","All Homes",2015-05-01,17.27
"San Francisco","All Homes",2015-05-01,21.12
"Seattle","All Homes",2015-05-01,18.33
"New York","All Homes",2015-06-01,19.68
"Los Angeles","All Homes",2015-06-01,17.23
"San Francisco","All Homes",2015-06-01,21.25
"Seattle","All Homes",2015-06-01,18.28
"New York","All Homes",2015-07-01,19.92
"Los Angeles","All Homes",2015-07-01,17.26
"San Francisco","All Homes",2015-07-01,21.12
"Seattle","All Homes",2015-07-01,18.16
"New York","All Homes",2015-08-01,19.75
"Los Angeles","All Homes",2015-08-01,17.25
"San Francisco","All Homes",2015-08-01,21.09
"Seattle","All Homes",2015-08-01,18.07
"New York","All Homes",2015-09-01,19.83
"Los Angeles","All Homes",2015-09-01,17.32
"San Francisco","All Homes",2015-09-01,21.04
"Seattle","All Homes",2015-09-01,18.07
"New York","All Homes",2015-10-01,19.71
"Los Angeles","All Homes",2015-10-01,17.35
"San Francisco","All Homes",2015-10-01,20.64
"Seattle","All Homes",2015-10-01,18.28
"New York","All Homes",2015-11-01,19.61
"Los Angeles","All Homes",2015-11-01,17.32
"San Francisco","All Homes",2015-11-01,20.62
"Seattle","All Homes",2015-11-01,18.4
"New York","All Homes",2015-12-01,18.77
"Los Angeles","All Homes",2015-12-01,17.32
"San Francisco","All Homes",2015-12-01,20.71
"Seattle","All Homes",2015-12-01,18.51
"New York","All Homes",2016-01-01,18.89
"Los Angeles","All Homes",2016-01-01,17.27
"San Francisco","All Homes",2016-01-01,20.61
"Seattle","All Homes",2016-01-01,18.61
"New York","All Homes",2016-02-01,19
"Los Angeles","All Homes",2016-02-01,17.11
"San Francisco","All Homes",2016-02-01,20.62
"Seattle","All Homes",2016-02-01,18.75
"New York","All Homes",2016-03-01,19.23
"Los Angeles","All Homes",2016-03-01,17.05
"San Francisco","All Homes",2016-03-01,20.91
"Seattle","All Homes",2016-03-01,18.88
"New York","All Homes",2016-04-01,19.26
"Los Angeles","All Homes",2016-04-01,17.07
"San Francisco","All Homes",2016-04-01,21.09
"Seattle","All Homes",2016-04-01,19
"New York","All Homes",2016-05-01,18.77
"Los Angeles","All Homes",2016-05-01,17.12
"San Francisco","All Homes",2016-05-01,20.96
"Seattle","All Homes",2016-05-01,19.32
"New York","All Homes",2016-06-01,18.99
"Los Angeles","All Homes",2016-06-01,17.07
"San Francisco","All Homes",2016-06-01,20.91
"Seattle","All Homes",2016-06-01,19.25
"New York","All Homes",2016-07-01,19.36
"Los Angeles","All Homes",2016-07-01,17.07
"San Francisco","All Homes",2016-07-01,20.68
"Seattle","All Homes",2016-07-01,19.53
"New York","All Homes",2016-08-01,19.68
"Los Angeles","All Homes",2016-08-01,17.07
"San Francisco","All Homes",2016-08-01,20.57
"Seattle","All Homes",2016-08-01,19.35
"New York","All Homes",2016-09-01,19.94
"Los Angeles","All Homes",2016-09-01,17.18
"San Francisco","All Homes",2016-09-01,20.61
"Seattle","All Homes",2016-09-01,19.51
"New York","All Homes",2016-10-01,20.14
"Los Angeles","All Homes",2016-10-01,17.24
"San Francisco","All Homes",2016-10-01,20.76
"Seattle","All Homes",2016-10-01,19.6
"New York","All Homes",2016-11-01,20.4
"Los Angeles","All Homes",2016-11-01,17.41
"San Francisco","All Homes",2016-11-01,21.39
"Seattle","All Homes",2016-11-01,19.78
"New York","All Homes",2016-12-01,20.71
"Los Angeles","All Homes",2016-12-01,17.54
"San Francisco","All Homes",2016-12-01,21.92
"Seattle","All Homes",2016-12-01,19.97
"New York","All Homes",2017-01-01,20.78
"Los Angeles","All Homes",2017-01-01,17.6
"San Francisco","All Homes",2017-01-01,22.11
"Seattle","All Homes",2017-01-01,20.04
"New York","All Homes",2017-02-01,21.13
"Los Angeles","All Homes",2017-02-01,17.64
"San Francisco","All Homes",2017-02-01,22.16
"Seattle","All Homes",2017-02-01,20.12
