"RegionName","HousingType","Time","Value"
"Seattle","All Homes",1999-06-01,164
"New York","All Homes",1999-07-01,NA
"Los Angeles","All Homes",1999-07-01,136
"San Francisco","All Homes",1999-07-01,286
"Seattle","All Homes",1999-07-01,166
"New York","All Homes",1999-08-01,NA
"Los Angeles","All Homes",1999-08-01,137
"San Francisco","All Homes",1999-08-01,291
"Seattle","All Homes",1999-08-01,168
"New York","All Homes",1999-09-01,NA
"Los Angeles","All Homes",1999-09-01,138
"San Francisco","All Homes",1999-09-01,298
"Seattle","All Homes",1999-09-01,169
"New York","All Homes",1999-10-01,NA
"Los Angeles","All Homes",1999-10-01,139
"San Francisco","All Homes",1999-10-01,306
"Seattle","All Homes",1999-10-01,171
"New York","All Homes",1999-11-01,NA
"Los Angeles","All Homes",1999-11-01,140
"San Francisco","All Homes",1999-11-01,315
"Seattle","All Homes",1999-11-01,174
"New York","All Homes",1999-12-01,NA
"Los Angeles","All Homes",1999-12-01,142
"San Francisco","All Homes",1999-12-01,324
"Seattle","All Homes",1999-12-01,176
"New York","All Homes",2000-01-01,NA
"Los Angeles","All Homes",2000-01-01,143
"San Francisco","All Homes",2000-01-01,334
"Seattle","All Homes",2000-01-01,179
"New York","All Homes",2000-02-01,NA
"Los Angeles","All Homes",2000-02-01,144
"San Francisco","All Homes",2000-02-01,343
"Seattle","All Homes",2000-02-01,181
"New York","All Homes",2000-03-01,NA
"Los Angeles","All Homes",2000-03-01,146
"San Francisco","All Homes",2000-03-01,353
"Seattle","All Homes",2000-03-01,182
"New York","All Homes",2000-04-01,NA
"Los Angeles","All Homes",2000-04-01,147
"San Francisco","All Homes",2000-04-01,360
"Seattle","All Homes",2000-04-01,184
"New York","All Homes",2000-05-01,NA
"Los Angeles","All Homes",2000-05-01,149
"San Francisco","All Homes",2000-05-01,368
"Seattle","All Homes",2000-05-01,186
"New York","All Homes",2000-06-01,NA
"Los Angeles","All Homes",2000-06-01,150
"San Francisco","All Homes",2000-06-01,375
"Seattle","All Homes",2000-06-01,188
"New York","All Homes",2000-07-01,NA
"Los Angeles","All Homes",2000-07-01,152
"San Francisco","All Homes",2000-07-01,381
"Seattle","All Homes",2000-07-01,189
"New York","All Homes",2000-08-01,NA
"Los Angeles","All Homes",2000-08-01,153
"San Francisco","All Homes",2000-08-01,386
"Seattle","All Homes",2000-08-01,190
"New York","All Homes",2000-09-01,NA
"Los Angeles","All Homes",2000-09-01,154
"San Francisco","All Homes",2000-09-01,389
"Seattle","All Homes",2000-09-01,191
"New York","All Homes",2000-10-01,NA
"Los Angeles","All Homes",2000-10-01,156
"San Francisco","All Homes",2000-10-01,392
"Seattle","All Homes",2000-10-01,192
"New York","All Homes",2000-11-01,NA
"Los Angeles","All Homes",2000-11-01,156
"San Francisco","All Homes",2000-11-01,394
"Seattle","All Homes",2000-11-01,194
"New York","All Homes",2000-12-01,NA
"Los Angeles","All Homes",2000-12-01,158
"San Francisco","All Homes",2000-12-01,394
