RegionName,State,Metro,CountyName,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03
Jarrell,TX,Austin,Williamson,134000,135400,138900,142400,139650,141000,149300,146100,149400,149900,149900,148900,141500,150400,162000,158350,167400,167900,159900,158900,158100,159900,157900,161700,170000,167800,170000,179950,180000,188800,177400,169000,179850,189900,191900,184950,183000,182900,188500,186400,187000
Corvallis,MT,,Ravalli,295000,299000,299000,292497.5,280000,289900,291950,311350,315000,315000,320000,299250,299000,299000,312500,315000,344250,329000,329500,349000,329500,329000,330000,370000,397000,397000,387450,360000,381950,365000,409000,417000,407450,425000,392950,407450,399900,455000,447450,429950,395000
Alanson,MI,,Emmet,150000,142000,139000,139000,140500,152000,145000,164450,164900,163900,163950,149000,159900,162900,135000,149000,156400,169995,175000,177450,165000,165000,165000,155000,144900,132500,135000,128450,135000,135000,135000,133750,149950,150000,159950,160000,155000,154950,146950,146950,149950
Muttontown,NY,New York,Nassau,,,,,,,,,,,,,,,,,,,,,1988000,1886000,1988000,2049000,2049500,1999499.5,2049999.5,2049999.5,2100000,1998000,1689000,1699000,1690000,1670000,1670000,1697000,1697000,1670000,1649000,1599000,1599000
Hoosick Falls,NY,Albany,Rensselaer,99000,112000,112000,114000,110000,114000,110000,104888,104944,104394,96500,109000,107500,109000,106000,105444,106950,108450,112000,118000,118000,104900,102000,104900,104950,99900,102400,94900,89900,89900,89900,89900,88250,89000,84900,89000,89000,89000,84000,79900,79900
Glen Head,NY,New York,Nassau,1596500,1850000,1750000,1893944,1699999,1749499.5,1986500,1985000,1889000,1864500,1797000,1788000,1762500,1828000,2049500,2198000,2100000,1985000,1985000,1775000,1735000,1624499.5,1599000,1689000,1689000,1650000,1650000,1788000,1780000,1600000,1648000,1891500,1898000,1999444,2.00E+06,1998000,2014000,2.00E+06,1999000,1999444,1999000
Shenandoah,VA,,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,154900,154900,154900,155450,154900,149900,159900,159900,156900,159400
Roundup,MT,,Musselshell,,,,,,,,,,,,,,,,,,,,,,,,,,123400,109000,117000,121900,139900,131700,138200,127400,130250,127400,115900,115950,108450,111950,111950,116500
Oak Ridge,NC,,Guilford,,,,,,,,,,,,,,462900,462900,452900,428900,431450,389250,405000,415000,414900,439900,452900,452900,421700,425000,424500,402400,398000,398500,404450,409250,392400,398000,382450,411450,394900,429450,429000,435400
Grangeville,ID,,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,169950,169950,169450,170000,154950,168000,169900,167000,169900,164450,169900,169900
Alturas,CA,,Modoc,120000,115000,118250,115000,112000,120000,120000,118500,112500,117450,120000,124999,120450,113000,128200,132500,131250,126950,123000,128500,126500,126500,128500,126500,124900,117900,118950,123700,117950,121250,139000,125000,125000,120000,125000,117950,115000,129900,135000,130000,134250
Hotchkiss,CO,,Delta,249000,269000,285000,249900,250000,247000,247000,245000,249000,289250,269000,259000,275000,269500,239000,239000,272000,295000,275000,295000,275000,297000,295000,275000,275000,282450,289900,295000,299500,298950,298000,309900,299000,349750,325000,337250,375000,374500,375000,375000,372000
Cornwall,NY,New York,Orange,289900,289000,279000,274500,279450,289000,299499.5,327000,325000,329450,328900,324500,299000,317450,299999,299000,312500,315000,326900,350000,350000,329950,329250,328900,359900,364900,370000,389000,352450,389000,350000,349000,339450,339000,349900,344500,333000,329450,333000,320000,3.00E+05
Bandon,OR,Coos Bay,Coos,347000,335000,369000,367000,339000,352000,329000,325000,339000,360000,339000,319000,316500,299000,316500,312000,323750,315000,315000,312000,298500,299000,339000,349500,352500,349000,343500,340000,344500,349000,339500,354000,357500,362500,369000,369000,369000,369000,369000,349900,350000
Colfax,CA,Sacramento,Placer,,,,,,,349950,312500,339000,322900,339000,339000,296950,339000,349000,348000,363000,394450,410000,415000,420000,412500,398750,399990,419900,419925,422387,422387,409499.5,425000,424500,425000,439000,445000,435000,437000,437000,450000,424950,424475,429900
Saltlick Township,PA,Pittsburgh,Fayette,265000,272500,275000,259000,254500,252500,252500,249000,260000,250000,244450,245900,229950,265000,256000,269000,269500,247000,279000,269500,269250,229000,229000,229000,226950,226950,201000,212000,220000,229000,234950,235000,254000,234900,249000,219000,222000,237450,245000,245000,236550
Tazewell,VA,Bluefield,Tazewell,,,,,,,,,,,,,,,,,,,,,,,172000,164950,155000,142200,142200,144900,139500,139500,139500,139900,139700,147500,148320,132700,129250,129900,135450,131400,137700
Diana,TX,Marshall,Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,224900,224997.5,224997.5,221950,225000,203500,192000,189900,171500,153700,165500,189950,2.00E+05,216000
Geneva,OH,Ashtabula,Ashtabula,115000,123700,127500,129900,129900,110000,108250,99900,99950,114900,109000,117400,99900,105400,104900,105000,105900,105900,107999.5,99900,112000,108300,109900,109660,109900,109949.5,110000,104900,111400,114700,112950,119900,114900,114900,122450,110000,97500,99650,99900,99650,99900
Covedale,OH,Cincinnati,Hamilton,,,,,,,,,,,,,118750,115000,104900,108750,109900,109900,118900,117500,112500,114900,114900,114900,125000,114900,134900,137500,139900,134900,139900,141200,121900,121900,132400,131900,125000,119950,124950,119900,120000
West Plains,MO,West Plains,Howell,102450,99900,1.00E+05,99900,99925,99925,109900,114900,113500,119900,119900,119000,118500,117950,119900,124400,119000,114900,119450,113500,113200,114200,113500,110950,109900,115000,110000,113500,105900,104950,100950,99900,104900,109000,113500,109000,106250,99900,94900,99900,104950
Orange Beach,AL,Daphne,Baldwin,409300,419950,399900,402450,399900,405000,399000,405000,415000,415000,419000,410000,419000,420000,415000,420000,424900,429900,432450,425000,427500,429900,439000,439950,439950,439900,441000,449000,450000,462450,459450,456900,459000,458900,450000,449000,449000,469000,468270,469000,474500
Highland Beach,FL,Miami-Fort Lauderdale,Palm Beach,595000,595000,599000,590000,585000,575000,534495,589000,575000,550000,499450,489000,484250,514450,529000,575000,599999.5,599999.5,620000,619000,644000,672000,669000,650000,664000,650000,649000,649000,595000,586000,565000,574999,566999.5,579000,579000,629000,649500,610000,627000,625000,637000
Town of Johnson,VT,,Lamoille,,,,,,,179450,185000,179900,179900,179000,165000,160000,172450,199000,199000,212000,219000,228000,229000,205000,228000,204700,212250,226500,225000,228000,230000,245000,230000,237500,245000,245000,249000,245000,245000,232500,230000,217100,199900,217100
Town of Jaffrey,NH,Keene,Cheshire,219900,218000,227500,222950,227500,229000,219000,219500,229000,224250,229000,222200,199900,194500,182400,189900,189900,199900,199900,199900,210000,207500,199900,199900,199450,189900,187700,185000,194999,212400,211950,216950,204900,204900,214450,209000,219000,209900,209000,204450,209250
Essexville,MI,Bay City,Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,73400,69900,73700,75400,74900,78950,79900,83900,79950,79950,79900,79900,84400,79200,75000
Gatlinburg,TN,Sevierville,Sevier,189900,189900,189900,184900,183000,179900,179900,180900,179900,179900,185000,183000,185000,185900,189000,189000,188900,179900,183450,186500,189000,179900,184900,185900,196700,194000,199900,199900,189950,189900,189950,199900,220000,215000,216000,214950,224500,225000,227000,210000,224900
Town of Poultney,VT,Rutland,Rutland,,,,,,,,184900,191900,187400,184900,184900,184900,189000,184900,179450,184500,206000,217500,206000,205000,199900,199000,175000,175000,174000,189000,191000,189000,189900,191450,189450,197000,191000,195000,184000,182000,195000,189900,180000,180000
Staples,MN,,Todd,,,,,,,,,,,,,,,,,,129900,129900,136000,140750,129900,129900,129750,119900,119900,121200,119900,119900,120700,129900,134900,129700,121200,129900,125250,125000,112300,102450,114950,128450
Thompson,CT,Worcester,Windham,,,,,,,224250,214700,208600,199900,199950,199900,199900,199000,179900,179900,199450,220000,219999,224000,219900,212200,209000,204900,199900,199900,199900,199900,199900,199900,219900,199950,194900,199900,203999,219900,199950,204499.5,205000,207450,201499.5
Bradley Beach,NJ,New York,Monmouth,487500,512450,509500,487500,472000,425000,425000,455000,439000,427000,410000,438000,450000,452450,457500,469999,469000,512500,539500,520000,477500,521000,535000,524999.5,499000,525000,509450,519900,514900,514900,511950,514950,515000,515000,499950,522000,499450,540000,599000,579900,579900
Grand Marais,MN,,Cook,,,,,,,,,,,,,,,,,,259900,254900,249900,257400,269900,269900,277450,274900,269450,267000,262500,255000,269000,249000,249900,249900,249200,244950,259000,259450,259000,259000,259000,259000
Town of Fryeburg,ME,,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210000,210000,239900,210000,239900,249000,249000,239900,219450,197000,2.00E+05,205000
Charleston Township,PA,,Tioga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175900,185000,191950,199000,185000,198900,180450,198900,198900,198900,219900,212400,204900
Town of Cambridge,NY,Glens Falls,Washington,169900,168400,168950,169000,166950,164950,159500,166250,168900,182200,169500,169200,169400,151000,149900,149900,144900,159750,175000,159900,162400,166900,164900,166450,171700,174900,174900,171700,168450,154900,159900,154900,154000,151950,178450,169900,169500,169900,171400,169500,169900
Blairsville,PA,Indiana,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000,96500,102000,99000,99000,92250,88250,88250,85000,86250,93500,79900
East Hills,NY,New York,Nassau,,,,,,,1250000,1200000,1198000,1198000,1249500,1198000,1193000,1198000,1178000,1169000,1248000,1134000,1188000,1158000,1169000,1149000,1149000,1188000,1193000,1188000,1221500,1297000,1222500,1186500,1172500,1150000,1248000,1249000,1254500,1296500,1299000,1299000,1298500,1314000,1399000
Pistakee Highlands,IL,Chicago,McHenry,133400,129900,124900,139000,139450,139900,134500,139900,149500,145000,148450,162000,163900,158900,140000,140000,137000,140500,139900,140000,144850,138000,135200,144400,149950,144400,149850,147350,145000,145000,149000,151950,149900,154900,147450,141450,145000,143750,140000,143750,140000
Town of Rochester,NY,Kingston,Ulster,231950,249000,244000,270000,265000,277000,265000,258000,255900,279000,273500,269000,275000,245000,218500,248950,249400,274950,249000,252400,249500,259000,260000,234500,229950,230000,198000,194900,183700,176950,199700,217450,224900,224900,230000,229900,224900,199000,198000,198000,212450
Box Elder,SD,Rapid City,Pennington,,,,,,,,,,,,,,,,,,,184000,188900,199900,201400,196900,196900,194450,190950,195000,199900,196900,199900,199700,199900,211000,209000,208475,213400,215000,215000,219450,236735,229900
Warroad,MN,,Lake of the Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,129900,129900,129900,129900,129900,129900,140500,137500,137500,139000,134450,142900
Chattahoochee Hill Country,GA,Atlanta,Fulton,,,,,,,,,,,,,,,,,,,,,,,,,,612000,649000,627000,563750,530000,509450,499900,545750,599000,599000,639000,639000,639000,676400,688500,634450
Clarkdale,AZ,Prescott,Yavapai,,,,,,,,,,,,,,,,,,,,,317000,282400,284900,282400,287500,298800,298800,298800,298800,280450,285000,295000,269000,283450,277900,277900,266900,267000,268450,269450,269900
Skiatook,OK,Tulsa,Osage,,,,,,,,,,,2.00E+05,192900,179900,179000,179950,178500,189500,184750,209000,199900,209000,195700,205000,194700,209500,209000,209000,197500,193750,201960,199725,195000,190000,189900,185900,175000,174900,162500,174500,194000,186150
Manchester,GA,Atlanta,Meriwether,,,,,,,,,,,,,,,,,,89500,87850,81350,88000,88000,77450,72250,69500,70000,74950,85500,80000,77000,74422.5,75372.5,78900,71200,67000,65000,69000,69000,71600,71600,75322.5
Roebuck,SC,Spartanburg,Spartanburg,149900,152400,160431,164500,164749.5,171031.5,163500,159962,163750,157250,164900,169900,169900,169838.5,165000,158900,169900,166250,154900,159000,149950,154900,164900,163000,154900,149900,153900,149450,149950,144450,149900,157900,146900,147900,138900,154400,159900,153400,148900,147900,156900
Farwell,MI,,Clare,,,,,,,,,,,,,,,,,,,,,,,,112750,104900,109900,99900,99900,107900,114950,117450,124900,116000,110750,104900,99000,99000,106900,102950,106900,104000
Orangetown,NY,New York,Rockland,519000,525000,519000,519500,519000,486950,505000,499949.5,499000,489900,479000,489000,499000,542500,548000,5.00E+05,489000,518000,516500,515000,5.00E+05,505000,525000,519000,525000,545000,525000,519000,525000,530000,522500,539000,539000,550000,547999,539000,549900,596500,597000,599000,586000
Weaver,AL,Anniston,Calhoun,101400,109900,109900,109900,109900,114200,114900,115400,103200,99250,99500,99250,94900,94900,94900,99900,96900,94900,99000,100880,103330,106900,1.00E+05,104500,103900,111900,109700,109900,107900,104900,99900,99700,100044,94950,89900,89000,89900,93450,99000,99900,99900
North Sioux City,SD,Sioux City,Union,,,,,,,,,,,,,,,,,307000,304000,305500,305500,327900,337449.5,329000,322200,329499.5,332449.5,332449.5,314975,356950,367000,367000,369900,353450,365000,372350,353450,375000,352450,328375,328375,320000
Chester,NY,Glens Falls,Warren,,,,,,,,249500,259000,239450,243900,243900,243900,243900,243900,238950,258900,229000,225000,219450,225000,227000,229450,225000,222000,210000,209500,209500,218900,239900,219900,222250,219500,209000,209000,209000,209000,224900,199000,197000,189900
Chelan,WA,Wenatchee,Chelan,225000,222000,225000,227900,229000,225000,241500,242000,239900,237000,229000,239000,237000,229000,237000,235000,229000,239000,249000,249000,249000,249000,244475,239475,230500,229000,229000,232000,239000,272400,256950,250000,259900,260000,287000,305000,269900,246500,250000,244500,259950
Saranac Lake,NY,Malone,Franklin,169000,154700,149250,154450,149000,149000,149000,149000,154450,139000,140000,152950,144900,157500,156000,149000,159450,159000,154900,149900,149900,152400,154900,160000,166000,152400,149900,149900,149000,151200,155550,149900,149900,164900,169000,159450,159000,154450,150250,139000,149450
