RegionName,State,Metro,CountyName,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03
New York,NY,New York,Queens,439999,439000,449000,439000,449999,469000,497000,535000,525000,525000,520000,535000,529000,540000,585000,559000,560000,585000,599000,588000,599000,599000,648000,665000,659000,670000,745000,749000,699999,759000,707000,715000,715000,699000,699000,715000,725000,718000,708888,735000,774950
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,549000,539000,529000,540000,539000,565000,575000,579000,589000,579000,579750,579000,569000,525000,535000,575000,599000,619000,638500,647250,640000,645000,645000,649000,649000,649000,649999,665000,675000,695000,689950,699000,699000,699000,699000,699000,709000,699925,705000,705450,725000
Chicago,IL,Chicago,Cook,219900,215000,205000,229900,247500,258950,259900,265000,265000,258900,250000,249900,239000,228000,224900,239000,249999.5,254500,259202,259000,254900,249900,249900,246000,240000,235000,235000,249000,264900,274000,275000,275000,270000,269000,270000,269900,265000,250000,255000,275000,289900
Houston,TX,Houston,Harris,,,,,,,,,,,,,,,,309000,315000,325000,319990,315000,325000,325000,325747.5,329500,329500,333900,335000,329900,334900,329950,329900,330000,329000,329000,323926,317005.5,315000,309995,301945,309900,314888
Philadelphia,PA,Philadelphia,Philadelphia,144900,142500,139900,139900,149900,159900,159900,159900,153700,149900,149900,149750,144900,134900,138500,144900,150000,159900,161900,159900,155000,150000,149900,149999,149900,143900,139900,139900,149750,155000,159900,159900,156900,150000,152000,158900,150000,149900,150000,152000,164900
Phoenix,AZ,Phoenix,Maricopa,190000,190000,189900,195000,2.00E+05,209000,214900,217500,215000,215000,219900,220000,214200,202945,219000,225000,230000,239000,240000,240000,235000,240000,240000,242925,245000,240245,245000,249900,250000,259888,259900,259900,255990,254000,250000,250000,249900,249500,249900,254900,255000
Las Vegas,NV,Las Vegas,Clark,175000,175000,170000,170000,175000,179000,179948,182500,180000,190000,195000,195000,189900,190000,190490,199900,201500,208000,215000,215000,215000,216999.5,219900,219900,220000,220000,219900,219000,220000,225000,229000,234900,237000,239000,240000,241000,244000,244900,247541,250000,255000
San Antonio,TX,San Antonio,Bexar,184900,187990,187946,189900,195000,195000,2.00E+05,198500,195900,199999.5,195900,193400,193000,199900,204900,209992.5,210000,220000,220000,225000,229500,229000,232000,228000,227500,227490,228000,216990,221000,222490,222992.5,225000,225000,225000,220000,224900,225000,220000,224283,227900,232443
San Diego,CA,San Diego,San Diego,459900,465000,464500,475000,480000,499900,470000,499000,525000,519900,515000,510000,520000,499000,499900,515000,540000,559000,575000,539900,575000,575000,575000,580000,584900,599000,589900,599000,599900,619000,629000,628000,629000,624949.5,617500,610000,6.00E+05,610000,619000,625000,630000
Dallas,TX,Dallas-Fort Worth,Dallas,247900,244990,227000,229999.5,245000,259900,269000,254000,259999.5,284900,255000,260000,249900,245450,250000,274900,289000,296000,299900,299900,293250,295000,311900,319900,324900,314950,315000,327000,350000,360000,365000,369250,374990,364900,369850,369000,369000,350000,359000,378990,390000
San Jose,CA,San Jose,Santa Clara,619000,610000,598000,603000,639800,649000,674956,672000,665000,662500,650000,649999,638800,619900,639250,679000,699000,7.00E+05,728000,749000,749000,748000,740940,738000,725000,718944,725000,750000,789000,795000,799000,799000,799000,788000,789884,794950,775000,770516,765000,780000,799999
Jacksonville,FL,Jacksonville,Duval,144900,139900,139899,142000,146945,149900,153990,155000,158900,159900,159500,155000,155000,144900,145900,150000,152900,157000,159900,159900,159900,161993.5,165000,159900,164000,159900,160000,157000,163500,169900,170000,175000,174900,169900,169000,168000,165000,164900,165990,170000,176000
San Francisco,CA,San Francisco,San Francisco,859450,889500,850000,889000,890000,899000,907000,925000,899000,875000,925000,949000,945000,925000,950000,998000,998000,1049000,1049000,1.00E+06,998000,998000,1050000,1059500,1050000,1047000,995000,1095000,1099000,1149000,1150000,1149000,1100000,1100000,1149000,1169000,1150000,1150000,1154400,1195000,1195000
Indianapolis,IN,Indianapolis,Marion,115000,114500,110900,114900,119900,123000,124900,125000,125000,124900,122500,120000,119000,114900,114900,115000,119900,122700,125000,125000,124900,120000,120000,119000,117900,114900,109900,109900,114900,118900,122900,124900,124900,123900,123000,124900,123000,119900,119900,122000,127900
Austin,TX,Austin,Travis,299990,299494,308000,320541,330000,348500,350000,350000,341990,345000,344995,343990,339500,346510,349900,350000,358445,367990,369900,369000,357500,362990,363450,365000,359000,362990,365990,367990,370000,377000,375000,389000,389900,380000,384900,380000,384900,375000,370000,384900,395000
Fort Worth,TX,Dallas-Fort Worth,Tarrant,161955,162995,162990,167990,169900,173399,174900,170000,170770,175000,179000,178000,174992.5,175000,178000,176990,182990,185500,185345,188500,187990,188277.5,189000,185900,189000,189000,190000,188900,194900,199000,203000,210000,212990,214000,210000,215000,215000,213970,215000,224090,227885
Columbus,OH,Columbus,Franklin,108900,105900,104051,105900,110000,117500,120000,124900,122500,119900,119900,119900,114900,109900,114900,118900,119900,125000,133945,132900,134900,132900,129900,128950,128500,124900,124900,129000,134900,139900,145000,145500,145900,144900,145000,144821,142700,137700,134900,135000,142500
Memphis,TN,Memphis,Shelby,94900,89000,85000,78000,79900,84000,85000,89900,90000,89900,86500,79875,69900,69900,74000,76000,79000,80000,85000,89900,89900,84000,79900,79000,74900,65000,65625,65500,66500,73399.5,76000,80600,89000,85000,82000,84900,79900,77500,75000,74900,77000
Charlotte,NC,Charlotte,Mecklenburg,180000,179900,171900,174900,185000,188000,189997,191500,189000,189900,185990,189000,184900,182500,187500,199000,199900,213076,220000,225000,229000,225000,224500,229000,225000,225000,230000,239900,250995,256999,260000,257000,259000,248000,247500,249900,250000,254900,250000,255000,265000
El Paso,TX,El Paso,El Paso,152000,152250,152000,152000,152999.5,159000,159000,155000,153426.5,150000,149750,147500,145950,147000,147832,149000,149900,150950,154000,152475,152000,151950,150000,149950,150000,149900,149900,149925,149900,154900,155000,153000,154950,152500,153900,155000,154000,150975,151950,154000,155150
Boston,MA,Boston,Suffolk,469000,479000,499000,520450,479900,479000,484950,479900,489000,489450,495000,499000,499900,499000,519000,549000,539999,549400,550000,549000,549000,550000,550000,565000,575000,572450,599000,609000,605000,639000,629000,625000,629000,635000,639000,629450,635000,640750,631000,675000,679000
Seattle,WA,Seattle,King,424950,415000,409000,415000,419000,428500,429900,450000,450000,445000,450000,450000,439999,429900,435000,449995.5,475000,475000,475000,489000,495000,495000,499950,508000,520000,525000,525000,528500,549000,550000,568000,575000,579000,575000,584950,589000,594950,598000,595000,599950,619950
Baltimore,MD,Baltimore,Baltimore City,105000,109000,99900,1.00E+05,99900,112950,117999,116400,109900,109974.5,112900,109900,1.00E+05,98000,99000,99900,104900,109000,112000,115000,110000,113900,114925,115000,114700,109250,104500,1.00E+05,110000,119900,124900,124500,124500,119900,119900,120000,125000,119990,119000,120000,129900
Denver,CO,Denver,Denver,315000,324900,324900,339000,349995.5,358000,375000,375000,374250,375000,379700,380000,386627.5,399900,415000,415000,419000,434900,425000,425000,425000,415000,419000,425000,426900,425000,435000,445000,455000,455000,460000,459000,448950,439900,449900,448975,449000,440000,450000,461000,475000
Washington,DC,Washington,District of Columbia,469900,454995,445000,445000,449250,465000,454990,449990,449250,439000,450000,459950,449900,437000,437495,439900,457950,479000,499000,490000,460000,475000,490000,499000,489000,489000,496000,509000,519750,549900,549900,559945,569000,549900,549775,551450,549000,549000,549000,539900,549000
Nashville,TN,Nashville,Davidson,182950,184000,182788,189900,199900,205000,214900,215000,214900,214900,219500,225000,220000,229900,235000,249900,259000,259900,254900,254900,250000,254900,264900,266995,273100,269000,279999,289990,295000,299900,3.00E+05,299900,295000,298000,299000,299900,3.00E+05,304445,304990,315000,325000
Milwaukee,WI,Milwaukee,Milwaukee,99900,96700,85000,88000,93650,104900,109900,112500,112500,109900,109900,105000,99900,98800,95000,99000,1.00E+05,109950,119900,119849.5,116500,115000,114900,114000,109900,109000,104000,109000,112900,119000,119900,124900,124900,121700,123500,119900,118900,111900,104995,110000,115000
Tucson,AZ,Tucson,Pima,160975,165000,164500,165000,166400,169000,169900,169900,169900,169900,169900,170000,167500,165000,166000,170000,174000,170000,177950,178000,170453,174900,174900,174000,174900,170000,172950,173900,175000,174900,177900,175995,175000,175000,175000,179000,179000,179900,180000,182900,184500
Portland,OR,Portland,Multnomah,299000,298876,299000,302500,317999,320000,318000,329900,329900,329000,324000,319900,319900,320000,325000,335000,339900,344900,350000,350000,349900,349000,349900,359900,369000,365000,350000,354500,369975,385500,395000,399900,399900,399900,399500,399500,399500,399000,399900,411250,422450
Oklahoma City,OK,Oklahoma City,Oklahoma,140000,143590.5,142118,142500,144900,149500,149900,149000,149250,149500,145250,144900,145900,140000,150000,154994.5,157165,164000,169900,173500,172990,174500,175950,172000,174900,174900,174300,174900,176704,178510,180000,181086,179900,179900,179900,179006,179900,184900,182945,180000,179900
Omaha,NE,Omaha,Douglas,139000,139500,137000,140000,145000,148500,154900,157500,159000,155000,154950,149950,146900,145000,146900,159500,165000,174975,189975,181000,175000,174900,174900,169495,172950,170000,169500,179900,190000,198500,197250,195000,199000,190000,192500,189500,189500,195000,194900,210000,214000
Albuquerque,NM,Albuquerque,Bernalillo,189000,187500,185000,185900,189000,190000,195000,195000,195000,195000,195000,191545,192997.5,191000,190000,192000,195000,195000,199500,199900,199500,199000,197500,196900,194774,195000,194999,195000,2.00E+05,205000,210000,215000,215000,214900,214095,214900,201100,2.00E+05,199999,2.00E+05,205000
Fresno,CA,Fresno,Fresno,220000,215000,216300,218000,219000,219950,225000,225000,229000,228250,229000,225000,214900,215000,219000,219900,224950,224900,226900,229900,229950,230000,230000,229000,225000,220000,219900,224000,229000,229000,235000,239000,239000,239900,237700,235000,225000,225000,220000,218975,225493.5
Sacramento,CA,Sacramento,Sacramento,,,,,,,,,,,,,,,,225475,235950,242000,249000,249900,249900,249000,249000,255000,250000,249990,259888,259900,265000,269000,279000,279000,274888,269000,269000,269000,269000,264900,265000,267000,279900
Mesa,AZ,Phoenix,Maricopa,189900,189900,189900,189900,197000,199800,204694,204900,207000,203000,205000,206500,199000,195900,2.00E+05,209900,215000,219900,227945,225600,225000,229500,229000,229999.5,229999,230500,229900,229900,230990,235000,235000,235000,235000,235000,235000,235000,235000,234900,234900,237500,243000
Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,422450,399000,396000,395000,399000,399900,419450,419000,420000,429250,420000,424000,416250,413250,415000,425000,425000,445900,459000,474999,479900,485000,479900,487500,489900,488000,479000,495000,499800,499900,5.00E+05,5.00E+05,499900,5.00E+05,512250,499000,499900,499000,489000,499000,499000
Kansas City,MO,Kansas City,Jackson,,,,,,,,,,,,,,,,,,149172,149000,146450,147250,145000,145000,145000,140000,130000,137700,145000,159000,165000,168500,169900,169000,165000,164900,165500,165000,160000,164925,169750,177500
Virginia Beach,VA,Virginia Beach,Virginia Beach City,250000,254900,254900,259900,264900,268000,269000,265999,269528.5,269900,268950,265000,263450,260000,265900,269480,274900,279900,284900,284900,279900,279900,279600,280000,276500,270000,269900,269900,274000,279900,285000,289500,285000,284900,285000,279990,279900,275000,275000,279900,279900
Colorado Springs,CO,Colorado Springs,El Paso,224875,224500,220000,227225,229500,237500,245000,249900,249000,245000,244900,244460,239900,244500,250000,250000,255000,263700,267500,262900,259900,259900,259900,259000,259900,263995,269900,266000,273497.5,277900,279900,279500,275000,270000,268500,269900,269900,277545,280000,290000,295000
Atlanta,GA,Atlanta,Fulton,185750,179900,176000,189900,2.00E+05,220000,215000,219900,218450,209900,2.00E+05,2.00E+05,195000,189900,190000,199900,209900,219000,225000,230000,222750,233055,239900,244900,239900,235000,242500,244999,258450,269990,275000,269000,269000,259900,269250,274000,274988.5,259900,260000,279900,308000
Miami,FL,Miami-Fort Lauderdale,Miami-Dade,385000,380000,385000,385000,379000,379949.5,380900,379900,384900,389000,395000,395000,403950,410000,400500,409999.5,415950,411832,399000,399000,425000,430000,440000,449000,459000,465000,459994,459900,450000,450000,450000,450000,450000,449000,448000,440000,440000,440000,445000,445000,439000
Oakland,CA,San Francisco,Alameda,449000,425000,409000,399700,420000,432500,440000,449000,450000,449000,449000,439950,399900,379950,379950,429000,459250,469000,499000,518000,525000,5.00E+05,499950,528000,510000,499000,485000,499000,525000,554444,587001.5,589000,589000,575000,578000,596500,575000,549950,573450,585000,589000
Tulsa,OK,Tulsa,Tulsa,120000,119900,119000,121250,125000,128500,129500,129900,130000,134900,132700,129250,135000,124000,129800,129900,135000,138250,145000,144900,143000,145000,140000,141175,140000,139900,139500,140000,140750,149900,159900,159900,160000,161750,160000,159900,159900,155000,153000,153000,162500
Cleveland,OH,Cleveland,Cuyahoga,57000,59000,58500,56280,59900,60000,64000,64900,63900,63900,59900,59900,55000,53900,55000,58950,56950,59900,59900,58999.5,56700,55000,54900,52900,49950,49900,49900,49950,54900,56900,59900,59900,60000,60000,60000,60000,59900,59900,59900,60000,63500
Honolulu,HI,Urban Honolulu,Honolulu,528000,540000,528444,538944,535000,535000,535000,5.00E+05,499000,499950,5.00E+05,5.00E+05,550000,579000,575000,579000,575000,558000,575000,578000,579000,590000,595000,588000,588888,590000,595000,549000,598000,599000,589000,615000,625000,625000,648000,650000,655000,650000,649000,638000,639000
Minneapolis,MN,Minneapolis-St Paul,Hennepin,189900,187375,185000,199900,199900,209900,219250,219900,217500,215900,214900,209900,209900,205000,210000,215000,225000,229900,235000,236450,234900,234900,229900,229000,225000,219900,224900,230000,235000,239900,234900,229999.5,230000,229900,237500,239900,239900,229900,230000,242000,254900
Baton Rouge,LA,Baton Rouge,East Baton Rouge,162750,162200,159900,165000,165000,172500,175000,175000,175000,180000,179900,179900,187500,179900,189000,189000,194450,198000,195700,198000,198750,199000,204849.5,196500,193950,195000,196500,195000,199000,199900,2.00E+05,199500,199900,199900,199900,198000,199900,199900,195000,193900,199900
Arlington,TX,Dallas-Fort Worth,Tarrant,157700,159900,152000,155000,155000,160000,164900,160000,160500,165000,164900,165000,160000,169900,169900,175000,180990,184900,180000,177500,175000,175000,176500,179250,180000,180000,189900,179000,179700,182700,186500,189900,190000,190000,189900,189000,189000,190000,190000,194500,199000
Raleigh,NC,Raleigh,Wake,209250,205900,199999,208000,209900,210000,217950,219900,217000,220000,219900,224000,219700,212000,214700,215000,225000,236990,254200,250000,249000,253900,249900,247250,245000,239900,244900,244900,250000,264900,269000,265000,264900,269900,275000,275000,285000,279995,283000,297500,299900
Wichita,KS,Wichita,Sedgwick,119900,120000,124900,122000,128000,129900,135000,137500,134900,133900,132500,129500,125700,129000,129000,129900,134900,135900,139900,139500,137200,135000,134950,135000,134900,130000,134900,132000,135500,139900,139900,142900,144900,139900,142000,139900,139900,135000,139900,135000,137250
Tampa,FL,Tampa,Hillsborough,,,,,,,,,,189990,185000,193900,194500,181560,193250,199900,210000,209900,215000,219000,219450,244550,247700,249900,255000,250000,255000,257000,269000,274900,265000,265000,264990,254900,260000,259900,255000,249900,264900,275000,279500
Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,450000,450000,454350,456850,469450,465000,470000,479000,479999,480000,479000,474900,475000,459900,490000,493750,499900,499000,509000,514450,519000,517500,524900,529000,533750,529000,534065.5,539900,530000,540000,535000,539000,539000,545000,549000,548900,540000,539995,549000,560000,570000
Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange,375000,380000,375000,355000,355000,369450,395000,394950,399900,399999.5,399000,395000,392500,370000,399900,405000,415000,415000,419900,429000,419900,420000,419000,419000,405000,419450,429867,445000,445000,445000,465000,464950,459000,459949.5,464900,470000,468000,475000,475000,485000,499900
Aurora,CO,Denver,Arapahoe,210000,216449.5,224850,234900,233450,235000,235000,243950,240000,242250,249000,239900,235000,239000,249900,249900,250000,265000,274986.5,270000,270000,269975,270000,270000,269000,278000,289950,280000,289900,299900,289000,295000,299900,299000,299900,299000,295000,294945,289000,294900,305000
Saint Louis,MO,St. Louis,Saint Louis City,119900,115000,112300,117900,124900,125000,124999,124900,125000,123000,124900,122900,119900,115000,112000,122000,129900,129900,135000,134900,129900,129900,125000,125000,123700,115500,115000,119900,124900,134900,134950,134900,129900,129900,129900,125000,125000,124900,118500,124900,134900
Corpus Christi,TX,Corpus Christi,Nueces,175000,179900,178900,179900,180000,199000,195500,199900,199999,198000,189900,185000,187000,192100,198250,198900,209900,194450,198900,198000,199900,199900,199900,199000,197500,195000,198000,198999,199999.5,203500,206900,2.00E+05,204700,199900,199900,199900,199500,199900,199900,199900,199900
Cincinnati,OH,Cincinnati,Hamilton,112900,110000,109500,110000,119000,129500,134000,130000,129900,125000,124900,119900,115000,109900,113500,119900,121250,124900,135000,137900,135000,134500,129000,129000,129900,125000,128750,128000,132000,139900,140000,148500,145000,140000,145000,139900,144500,137500,139000,141900,157450
Pittsburgh,PA,Pittsburgh,Allegheny,139949.5,139900,139900,139900,149900,157900,163400,163000,155500,150000,149900,150000,141650,142500,149900,155000,159800,169900,174900,175000,175000,169000,160000,159900,159900,159000,154900,159899,164900,175000,180000,180500,179900,179693.5,179000,175000,169900,169900,165000,169900,179900
Riverside,CA,Riverside,Riverside,299900,299000,299900,305000,315000,326500,329900,335000,339900,345000,345000,340000,329900,329900,336450,349900,355000,354949.5,365000,372281,375000,374900,374999.5,374450,369000,368900,365000,359995,365000,369999.5,375000,383497.5,385000,385000,385000,389000,383267.5,385000,389000,389000,392000
Marietta,GA,Atlanta,Cobb,245000,239250,236856,249000,250000,255000,254950,262250,255000,250000,251343,249900,249900,240000,240000,249800,255000,269000,269900,274900,270000,275000,280000,279900,283650,279000,289900,299900,307000,320000,325000,324850,324900,315000,310000,311000,319450,315900,315900,319990,334000
Anchorage,AK,Anchorage,Anchorage,285000,289000,285000,294000,296250,3.00E+05,3.00E+05,299900,294900,299000,294000,287500,286750,289000,295000,299000,309000,312500,315000,313000,315000,312500,315000,312000,318900,311000,311000,319000,319000,324500,320000,325000,320000,315000,315000,314900,314900,309000,299974.5,3.00E+05,307750
Bakersfield,CA,Bakersfield,Kern,229775,225000,229700,229900,248000,253500,254950,255000,249999,249925,245000,234900,237990,235000,238000,240000,245000,248500,254900,249999,249900,249000,249000,249900,249950,245400,245000,245000,247500,249000,245500,249950,249000,245250,244900,241195,239900,245000,239900,240000,249000
Saint Paul,MN,Minneapolis-St Paul,Ramsey,149900,148794,140000,152900,159900,164900,169900,174900,179000,179900,179900,176450,174900,169900,165250,169900,172000,179900,184700,184900,181000,179900,179500,175000,176900,169900,169900,170000,179900,184900,185000,189900,189000,184700,184900,179950,179900,175750,179900,189900,199900
Toledo,OH,Toledo,Lucas,,64900,64900,64900,64900,64900,66500,69900,69900,68000,64900,64900,64900,60000,64500,64900,64900,64900,69900,69900,69900,69900,69900,69900,65500,64900,62385.5,64900,66900,69900,74900,74900,74900,70000,69900,69997.5,73000,69900,69900,69900,70950
Silver Spring,MD,Washington,Montgomery,367824.5,369000,365000,359900,369000,372638.5,390000,380000,385000,387875.5,386625.5,379900,379000,375000,362990,362495,370000,375900,389000,389900,380000,379900,375000,375000,375000,362500,359700,359000,375000,395999,395000,395447.5,389000,399000,399000,395000,389900,379500,365000,369500,389000
Lexington,KY,Lexington,Fayette,169900,174000,170000,174900,179700,179900,179900,179900,179000,175000,174450,175000,172900,175000,179900,175900,187000,188900,190000,195000,194097,193500,192000,192500,194900,194250,187500,193000,195000,199900,205780,212900,214900,215000,219000,223237,225949.5,225596,229900,234900,244900
Newark,NJ,New York,Essex,161000,159000,160000,165000,167494.5,169900,169000,169450,169900,170000,169000,159900,152000,159999,159000,169700,169949.5,169500,170000,175000,174999,169000,165000,160000,165000,160000,150000,149900,149000,164450,165000,160000,165000,165000,169250,164900,160000,159000,160000,169000,169000
Tallahassee,FL,Tallahassee,Leon,150000,150000,149990,155000,156000,162250,165000,169900,169900,169500,165900,162000,156000,152950,155000,160000,169000,169900,183900,169900,169900,165000,165000,159900,159500,159000,159900,161000,169000,174900,177700,179000,177950,175000,178000,179250,175000,169900,175000,179900,184900
Stockton,CA,Stockton,San Joaquin,179975,176000,175000,185000,189950,195000,199999,205000,211319.5,209975,219950,219000,211900,189900,2.00E+05,219999,229500,228444,230000,235000,240000,241000,240000,240000,239900,239900,238000,235900,239900,245000,249999,255000,255000,256444,255000,253000,255000,253999.5,255000,255000,263900
Plano,TX,Dallas-Fort Worth,Collin,286900,299000,299250,299000,299999.5,309900,309900,306000,299900,310000,309000,310000,315000,319950,335000,349500,350000,344900,339900,329900,324900,319900,324900,324900,325000,319900,325000,325000,349900,355000,352900,357900,360000,358900,354900,365000,374000,375000,374990,369999.5,374900
Buffalo,NY,Buffalo,Erie,65000,63500,59999,59500,62950,69900,69450,69900,68900,65950,69900,60000,59900,57500,63450,63000,64900,61900,69900,70000,67999,66450,64900,59997.5,56159,56159,55500,54900,54900,61560.5,65450,62950,66900,69900,70000,69500,65450,65000,65000,64900,69900
Chandler,AZ,Phoenix,Maricopa,269000,269900,275000,276000,285000,289700,290000,295950,295000,285000,295000,295000,275000,279000,289994.5,289999,299000,304900,304500,308995,299999.5,314975,315000,310000,310000,310000,312500,307995,299900,304900,302950,306990,309990,299994.5,3.00E+05,299900,299000,299900,299250,309900,312000
Louisville,KY,Louisville/Jefferson County,Jefferson,113200,113950,110000,113700,115000,119900,120000,119975,119999,119900,119900,120000,119900,119900,119900,119999.5,122000,125000,129900,129900,129900,129900,129900,131000,129900,129500,125000,125000,125000,134900,137500,139900,138900,134900,134900,135000,135000,129900,126500,131700,144000
Henderson,NV,Las Vegas,Clark,239000,234994.5,225000,230000,239900,243000,250000,253450,250000,260000,261450,267000,265000,265000,264900,269000,268700,270000,279000,279900,279000,283745,285000,285000,287500,287838,287250,285000,290000,299900,299900,3.00E+05,309382.5,310000,310000,315000,319700,324045,324812.5,323499,322990
Modesto,CA,Modesto,Stanislaus,,210000,199950,199900,209900,210000,220000,225000,229900,229900,229000,225000,219900,219900,219000,229850,239000,239900,249900,249950,254900,255000,258500,259997.5,255000,259000,255000,249900,251750,264900,265000,268950,265000,265000,269000,270000,269000,269900,269000,269388.5,272000
Mobile,AL,Mobile,Mobile,139900,140900,135000,138000,139900,139990,143500,142450,142000,149900,149700,144900,153900,139900,139900,141950,145000,144900,145000,146900,141937,147912.5,154900,145000,142999.5,142495,144900,134900,139000,139906.5,142152,141000,139900,139900,139995,140830,144900,144900,139950,139900,145000
Jersey City,NJ,New York,Hudson,289000,279000,277000,289000,295000,299888,299000,305999,315000,321950,325000,299999,299004,299000,299000,289000,289900,294950,299949.5,350000,349000,325000,329000,338000,329000,329450,340000,372500,365000,398500,399000,399000,399250,389000,399000,415000,405000,4.00E+05,430000,425000,437500
Lubbock,TX,Lubbock,Lubbock,154950,155000,142250,145900,155000,159250,157500,156200,149700,154000,149900,149950,159900,156800,156800,159000,165783,175900,178750,177350,184900,182500,182115,181200,185000,188250,180000,179500,183500,185000,185000,184675,187755,185000,183500,186400,179900,179475,179450,180500,194450
Glendale,AZ,Phoenix,Maricopa,183600,181900,179950,185000,189638.5,184900,189788.5,189900,185599.5,188000,189900,189500,184950,174900,192400,199000,205000,209900,219000,219975,219000,224900,220000,219900,215000,219700,215000,217500,220000,224900,224900,226750,228750,225000,225000,219000,219250,219000,219900,223450,228445
Durham,NC,Durham,Durham,182945,181990,179900,183990,187900,185000,187800,185652.5,189900,188000,189994.5,196165,197500,194900,195000,198900,198500,205000,206999,210000,210000,212000,219500,220000,220000,223947,220000,215000,220498,230000,230000,235000,239000,238245,236990,239900,239000,249900,248990,249999,258000
Orlando,FL,Orlando,Orange,189900,189900,191788.5,196900,190000,192500,189900,179999,195000,197750,195000,195000,189900,189900,189900,199900,199900,197250,198900,199900,2.00E+05,219900,219000,219000,224000,219900,219949,219900,225000,230000,229000,229000,234990,234000,234900,231820,229900,229900,236999.5,244945,249900
Norfolk,VA,Virginia Beach,Norfolk City,179000,179900,178900,179975,184900,189050,193000,194900,189900,189900,189365,185000,185000,185000,185000,189900,189000,194900,197900,199900,199000,197500,197250,194691.5,195000,192000,189900,195000,199900,199900,2.00E+05,199949.5,199900,199000,199900,199900,199500,199000,195000,199000,199700
Saint Petersburg,FL,Tampa,Pinellas,130000,137750,135000,142000,144900,144900,144900,149000,152450,150000,154900,155000,149900,147000,149900,161000,159900,159000,158500,159900,164900,174900,177000,179372.5,182000,189000,189900,199000,206700,220000,219000,219900,220000,215000,225000,229900,229900,229000,243000,249900,249900
Pensacola,FL,Pensacola,Escambia,124900,127500,124500,124900,127000,133900,139900,139225,139900,140000,139900,139000,133500,129000,130000,132900,129900,134900,133950,139000,135000,135900,143000,144950,143000,140000,140500,146520,152900,156000,157000,155000,155000,159900,159900,158725,159900,159900,164949.5,159925,168900
Fort Wayne,IN,Fort Wayne,Allen,97500,96000,94900,94900,99900,103500,103900,104900,101950,99900,99900,99900,98500,94900,95000,102500,102500,99900,104950,104900,102900,104500,102950,104900,104900,95800,98000,99900,109900,114900,119900,123950,123725,117900,116900,113400,110000,114650,112500,115000,129900
Greensboro,NC,,Guilford,137500,135000,136900,137500,140000,145900,149900,149900,148500,147500,145900,145000,142900,137900,144900,152000,149900,158900,165000,164900,159900,157740,159900,159900,159500,159900,154900,149900,159900,165000,169900,169900,164245,159900,157900,164900,164900,163900,169900,165950,173900
Lincoln,NE,Lincoln,Lancaster,132500,139900,135000,134900,139900,142900,149000,146500,144900,148000,149900,148900,149000,148450,149900,154950,158500,164844,165000,168900,160000,159925,161900,164900,164600,164900,174900,185000,189900,187900,194950,189000,185000,182900,178000,179900,177000,175000,185000,190250,195000
San Bernardino,CA,Riverside,San Bernardino,189900,188450,189900,193000,199000,199650,199900,208000,210000,199999.5,199994.5,199990,199900,199999,209900,215000,220000,219900,220000,220000,224950,229000,234950,229900,230000,229900,225000,229633,235000,230000,239700,241900,245000,248676,249250,247500,245900,245000,245000,249900,249995
Corona,CA,Riverside,Riverside,394880,391600,397500,398900,399900,408000,418500,419900,420000,420000,413900,415000,409900,409000,417900,424600,425000,430000,439000,439000,439000,439000,430000,429900,429900,425000,432000,435000,440000,449700,449900,455000,449900,449900,449000,449000,449000,449000,449999,450000,460000
Chula Vista,CA,San Diego,San Diego,369000,369900,379000,389900,395000,395000,364945,379700,399900,399000,405000,399000,399000,399000,407777,420000,435000,433250,439900,425000,429900,439000,443500,450000,459500,459000,459000,458250,455000,465000,465000,465000,475000,475000,479000,479900,479000,470000,475000,485000,490000
Chesapeake,VA,Virginia Beach,Chesapeake City,256950,260000,259900,259400,269900,282250,285000,279900,285000,280000,274900,269900,269900,269000,279900,294900,295000,289900,289000,289900,279900,279900,284900,279900,280000,279900,279950,275000,284900,299900,3.00E+05,299900,299900,304040,293245,294900,289900,298000,299000,299900,305000
Madison,WI,Madison,Dane,199900,196500,194900,199900,199900,2.00E+05,209900,217900,215500,215000,215800,218500,215000,215000,219000,220000,229000,225000,225000,229900,229900,229900,229900,229900,237000,239250,240000,242900,239900,249400,249900,249900,252900,250000,249900,249900,250000,264900,260000,264400,264900
Garland,TX,Dallas-Fort Worth,Dallas,130000,129900,129900,128364.5,129900,138000,139900,139900,139900,139900,139900,139000,139000,143950,142500,145500,154000,155000,154900,157899,155000,159000,160000,159900,160000,160000,160000,160000,161450,164900,179000,178000,177500,183945,179999,184895,185000,184900,185000,198900,195000
